,Timestamp,High/Low,Pred(Ft)
0,2020-01-01 02:03:00,Low Tide,0.65
1,2020-01-01 08:21:00,High Tide,8.61
2,2020-01-01 14:21:00,Low Tide,1.58
3,2020-01-01 20:30:00,High Tide,8.95
4,2020-01-02 02:50:00,Low Tide,0.98
5,2020-01-02 09:08:00,High Tide,8.54
6,2020-01-02 15:13:00,Low Tide,1.72
7,2020-01-02 21:22:00,High Tide,8.59
8,2020-01-03 03:38:00,Low Tide,1.25
9,2020-01-03 09:57:00,High Tide,8.56
10,2020-01-03 16:07:00,Low Tide,1.75
11,2020-01-03 22:16:00,High Tide,8.3
12,2020-01-04 04:27:00,Low Tide,1.44
13,2020-01-04 10:46:00,High Tide,8.66
14,2020-01-04 17:00:00,Low Tide,1.66
15,2020-01-04 23:10:00,High Tide,8.13
16,2020-01-05 05:16:00,Low Tide,1.54
17,2020-01-05 11:36:00,High Tide,8.84
18,2020-01-05 17:55:00,Low Tide,1.44
19,2020-01-06 00:05:00,High Tide,8.09
20,2020-01-06 06:06:00,Low Tide,1.53
21,2020-01-06 12:25:00,High Tide,9.12
22,2020-01-06 18:48:00,Low Tide,1.09
23,2020-01-07 00:59:00,High Tide,8.18
24,2020-01-07 06:56:00,Low Tide,1.4
25,2020-01-07 13:14:00,High Tide,9.49
26,2020-01-07 19:39:00,Low Tide,0.64
27,2020-01-08 01:50:00,High Tide,8.39
28,2020-01-08 07:45:00,Low Tide,1.16
29,2020-01-08 14:00:00,High Tide,9.92
30,2020-01-08 20:26:00,Low Tide,0.14
31,2020-01-09 02:37:00,High Tide,8.66
32,2020-01-09 08:32:00,Low Tide,0.83
33,2020-01-09 14:44:00,High Tide,10.36
34,2020-01-09 21:12:00,Low Tide,-0.36
35,2020-01-10 03:23:00,High Tide,8.96
36,2020-01-10 09:18:00,Low Tide,0.49
37,2020-01-10 15:29:00,High Tide,10.76
38,2020-01-10 21:58:00,Low Tide,-0.79
39,2020-01-11 04:08:00,High Tide,9.25
40,2020-01-11 10:04:00,Low Tide,0.16
41,2020-01-11 16:15:00,High Tide,11.06
42,2020-01-11 22:44:00,Low Tide,-1.12
43,2020-01-12 04:55:00,High Tide,9.52
44,2020-01-12 10:52:00,Low Tide,-0.1
45,2020-01-12 17:03:00,High Tide,11.24
46,2020-01-12 23:30:00,Low Tide,-1.32
47,2020-01-13 05:42:00,High Tide,9.77
48,2020-01-13 11:42:00,Low Tide,-0.28
49,2020-01-13 17:52:00,High Tide,11.24
50,2020-01-14 00:18:00,Low Tide,-1.36
51,2020-01-14 06:31:00,High Tide,9.96
52,2020-01-14 12:33:00,Low Tide,-0.34
53,2020-01-14 18:44:00,High Tide,11.06
54,2020-01-15 01:07:00,Low Tide,-1.23
55,2020-01-15 07:21:00,High Tide,10.08
56,2020-01-15 13:26:00,Low Tide,-0.29
57,2020-01-15 19:37:00,High Tide,10.69
58,2020-01-16 01:59:00,Low Tide,-0.94
59,2020-01-16 08:14:00,High Tide,10.13
60,2020-01-16 14:23:00,Low Tide,-0.16
61,2020-01-16 20:34:00,High Tide,10.21
62,2020-01-17 02:53:00,Low Tide,-0.57
63,2020-01-17 09:10:00,High Tide,10.13
64,2020-01-17 15:24:00,Low Tide,-0.02
65,2020-01-17 21:35:00,High Tide,9.7
66,2020-01-18 03:50:00,Low Tide,-0.17
67,2020-01-18 10:09:00,High Tide,10.11
68,2020-01-18 16:27:00,Low Tide,0.07
69,2020-01-18 22:39:00,High Tide,9.26
70,2020-01-19 04:48:00,Low Tide,0.2
71,2020-01-19 11:08:00,High Tide,10.1
72,2020-01-19 17:30:00,Low Tide,0.09
73,2020-01-19 23:45:00,High Tide,8.96
74,2020-01-20 05:47:00,Low Tide,0.49
75,2020-01-20 12:09:00,High Tide,10.12
76,2020-01-20 18:34:00,Low Tide,0.01
77,2020-01-21 00:51:00,High Tide,8.83
78,2020-01-21 06:47:00,Low Tide,0.64
79,2020-01-21 13:09:00,High Tide,10.19
80,2020-01-21 19:36:00,Low Tide,-0.15
81,2020-01-22 01:53:00,High Tide,8.86
82,2020-01-22 07:45:00,Low Tide,0.66
83,2020-01-22 14:05:00,High Tide,10.3
84,2020-01-22 20:31:00,Low Tide,-0.33
85,2020-01-23 02:47:00,High Tide,8.94
86,2020-01-23 08:37:00,Low Tide,0.61
87,2020-01-23 14:55:00,High Tide,10.37
88,2020-01-23 21:21:00,Low Tide,-0.44
89,2020-01-24 03:36:00,High Tide,9.01
90,2020-01-24 09:25:00,Low Tide,0.56
91,2020-01-24 15:41:00,High Tide,10.38
92,2020-01-24 22:06:00,Low Tide,-0.46
93,2020-01-25 04:21:00,High Tide,9.04
94,2020-01-25 10:11:00,Low Tide,0.54
95,2020-01-25 16:25:00,High Tide,10.31
96,2020-01-25 22:48:00,Low Tide,-0.4
97,2020-01-26 05:03:00,High Tide,9.05
98,2020-01-26 10:54:00,Low Tide,0.56
99,2020-01-26 17:07:00,High Tide,10.17
100,2020-01-26 23:28:00,Low Tide,-0.26
101,2020-01-27 05:43:00,High Tide,9.03
102,2020-01-27 11:36:00,Low Tide,0.63
103,2020-01-27 17:48:00,High Tide,9.97
104,2020-01-28 00:07:00,Low Tide,-0.06
105,2020-01-28 06:21:00,High Tide,9.0
106,2020-01-28 12:18:00,Low Tide,0.75
107,2020-01-28 18:29:00,High Tide,9.7
108,2020-01-29 00:46:00,Low Tide,0.2
109,2020-01-29 07:00:00,High Tide,8.94
110,2020-01-29 13:00:00,Low Tide,0.92
111,2020-01-29 19:10:00,High Tide,9.36
112,2020-01-30 01:26:00,Low Tide,0.5
113,2020-01-30 07:39:00,High Tide,8.87
114,2020-01-30 13:45:00,Low Tide,1.1
115,2020-01-30 19:54:00,High Tide,8.97
116,2020-01-31 02:07:00,Low Tide,0.83
117,2020-01-31 08:22:00,High Tide,8.78
118,2020-01-31 14:32:00,Low Tide,1.29
119,2020-01-31 20:40:00,High Tide,8.57
120,2020-02-01 02:52:00,Low Tide,1.15
121,2020-02-01 09:07:00,High Tide,8.71
122,2020-02-01 15:22:00,Low Tide,1.42
123,2020-02-01 21:31:00,High Tide,8.21
124,2020-02-02 03:39:00,Low Tide,1.42
125,2020-02-02 09:55:00,High Tide,8.7
126,2020-02-02 16:15:00,Low Tide,1.45
127,2020-02-02 22:24:00,High Tide,7.95
128,2020-02-03 04:29:00,Low Tide,1.6
129,2020-02-03 10:45:00,High Tide,8.78
130,2020-02-03 17:10:00,Low Tide,1.36
131,2020-02-03 23:20:00,High Tide,7.83
132,2020-02-04 05:21:00,Low Tide,1.65
133,2020-02-04 11:38:00,High Tide,8.98
134,2020-02-04 18:06:00,Low Tide,1.11
135,2020-02-05 00:17:00,High Tide,7.89
136,2020-02-05 06:16:00,Low Tide,1.52
137,2020-02-05 12:32:00,High Tide,9.33
138,2020-02-05 19:02:00,Low Tide,0.68
139,2020-02-06 01:14:00,High Tide,8.15
140,2020-02-06 07:10:00,Low Tide,1.2
141,2020-02-06 13:25:00,High Tide,9.83
142,2020-02-06 19:55:00,Low Tide,0.12
143,2020-02-07 02:07:00,High Tide,8.57
144,2020-02-07 08:03:00,Low Tide,0.72
145,2020-02-07 14:16:00,High Tide,10.39
146,2020-02-07 20:45:00,Low Tide,-0.48
147,2020-02-08 02:56:00,High Tide,9.07
148,2020-02-08 08:54:00,Low Tide,0.16
149,2020-02-08 15:06:00,High Tide,10.91
150,2020-02-08 21:33:00,Low Tide,-1.04
151,2020-02-09 03:44:00,High Tide,9.58
152,2020-02-09 09:43:00,Low Tide,-0.37
153,2020-02-09 15:55:00,High Tide,11.32
154,2020-02-09 22:21:00,Low Tide,-1.47
155,2020-02-10 04:32:00,High Tide,10.06
156,2020-02-10 10:33:00,Low Tide,-0.81
